id,side,timestamp,heart_rate,hrv,breathing_rate
1625,left,1777633092,,,16.239173884077278
1626,left,1777633152,75.56675062972292,,16.11328125
1627,left,1777633403,53.285968028419184,93.35965237380667,19.149306562989615
1628,left,1777633463,71.25890736342043,99.75935971442742,15.606034333275534
1629,left,1777633524,70.09345794392523,45.52996275711015,17.203948715848114
1630,right,1777633528,91.04704097116844,51.105283484195645,15.781167806417674
1631,right,1777633588,100.0,51.07270359626146,17.732592505024236
1632,right,1777633649,99.33774834437087,46.565657427118026,20.968023763760264
1633,left,1777634307,65.78947368421052,64.88917808154736,18.33087224400428
1634,left,1777634367,76.92307692307692,44.0635841858462,20.635575732562938
1635,left,1777634427,49.09983633387889,75.40618719592179,20.576131687242796
1636,left,1777634488,48.54368932038835,82.40900705896439,18.880541242182275
1637,left,1777634681,52.816901408450704,54.19048398642171,21.370565607636415
1638,left,1777634742,,76.62626673710677,20.8004314163553
1639,left,1777634803,,,18.486729169417668
1640,right,1777697901,76.92307692307692,53.167205255473405,17.095788219447755
1641,right,1777697962,70.75471698113208,70.84145815314096,19.421665947345705
1642,left,1777697983,68.3371298405467,80.46393256885003,17.470881863560734
1643,right,1777698023,,44.77502978425665,15.26251526251526
1644,left,1777698043,,53.982248581043464,19.166267369429807
1645,right,1777698084,,63.682246909390464,19.409100711667026
1646,left,1777698104,,50.186439377117054,21.550175993103945
1647,left,1777698164,,61.97347643742919,17.19854767819606
1648,left,1777698678,57.80346820809248,98.0255558627177,18.905757662560873
1649,left,1777698739,57.25190839694657,96.70655079409201,20.76004844011303
1650,left,1777698800,77.72020725388602,20.173424047633294,17.81094949323608
1651,left,1777698913,,41.33558731209014,17.819135771915057
1652,left,1777698974,,78.87476105797225,18.933417481855475
1653,left,1777699035,57.034220532319395,53.152573097799255,16.603516539656862
1654,right,1777699035,56.81818181818182,52.46290470969988,17.104846373139058
1655,right,1777699096,,28.444196427490166,17.013002794993316
1656,right,1777699157,65.21739130434783,95.77881145661222,19.302535066272043
1657,left,1777699179,65.359477124183,86.56294159247857,17.305029995385325
1658,left,1777699240,51.282051282051285,98.49473143885474,17.28243336661802
1659,left,1777699300,,51.56841846774773,21.41109298531811
1660,left,1777708145,56.28517823639775,41.9096784979225,18.959649975692756
1661,right,1777708148,56.28517823639775,69.91882418425413,17.783857729138166
1662,left,1777708205,,30.01181014300944,19.736842105263154
1663,right,1777708208,45.18072289156626,17.679664113810258,16.99441612041758
1664,left,1777708266,73.89162561576354,,16.706266706266707
1665,right,1777708269,49.42339373970346,15.208138543363724,18.35905057481313
1666,right,1777708329,58.59375,99.0550522772186,18.840740330267092
1667,right,1777708389,,97.48090231316836,15.506165546776934
1668,right,1777708456,50.0,75.81831062315725,16.642891107941033
1669,left,1777710354,61.47540983606557,57.296947309085944,14.134578318413501
1670,left,1777710414,76.72634271099744,86.41474782683399,18.883759966428872
1671,left,1777710475,44.24778761061947,,17.42722519847673
1672,left,1777712056,52.083333333333336,72.46404793488846,18.505952748133986
1673,left,1777712117,53.9568345323741,95.63125671820866,16.093701104206716
1674,left,1777712177,,,17.99775028121485
1675,left,1777712238,75.37688442211055,57.05623672802754,18.3196783878683
1676,left,1777712298,,83.6585321410793,19.48051948051948
1677,left,1777720930,78.53403141361257,,18.587360594795538
1678,left,1777720990,73.34963325183374,54.05410395008092,20.081217368021775
1679,left,1777721051,61.09979633401222,,21.676300578034684
1680,left,1777721313,49.586776859504134,73.62584758153052,17.461318329533878
1681,right,1777721317,49.586776859504134,,18.416206261510126
1682,left,1777721374,77.51937984496124,,21.4069096747339
1683,right,1777721378,55.14705882352941,,16.638096198447112
1684,left,1777721434,,79.44449994448055,19.67028849756463
1685,right,1777721438,,,17.69389560601592
1686,left,1777722318,55.97014925373134,,20.718232044198896
1687,left,1777722379,54.94505494505494,68.93045632359147,18.168804712877826
1688,left,1777722440,41.551246537396125,39.47305626445846,20.308004738534443
1689,left,1777723208,75.0,,17.64045544448602
1690,right,1777723210,75.0,84.31961279233482,17.77777777777778
1691,left,1777723269,60.483870967741936,73.45753326732711,18.253726802555523
