endDate,startDate,type,value
2024-04-17 05:31:55 -0400,2024-04-17 04:54:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 05:31:55 -0400,2024-04-17 04:54:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 05:32:25 -0400,2024-04-17 05:31:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2024-04-17 05:50:25 -0400,2024-04-17 05:32:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 06:01:25 -0400,2024-04-17 05:50:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2024-04-17 06:06:25 -0400,2024-04-17 06:01:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 06:12:55 -0400,2024-04-17 06:06:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2024-04-17 06:12:55 -0400,2024-04-17 05:32:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 06:13:25 -0400,2024-04-17 06:12:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2024-04-17 06:58:55 -0400,2024-04-17 06:13:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 06:58:55 -0400,2024-04-17 06:13:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 07:00:12 -0400,2024-04-17 00:40:31 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-18 00:00:17 -0400,2024-04-17 23:33:56 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2025-04-17 00:03:08 -0400,2025-04-16 23:58:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2025-04-17 00:03:38 -0400,2025-04-17 00:03:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 00:04:08 -0400,2025-04-17 00:03:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2025-04-17 00:13:08 -0400,2025-04-17 00:04:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 00:17:38 -0400,2025-04-17 00:13:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2025-04-17 00:40:08 -0400,2025-04-17 00:17:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 00:46:08 -0400,2025-04-17 00:40:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2025-04-17 01:23:08 -0400,2025-04-17 00:46:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 01:26:08 -0400,2025-04-17 01:23:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
