endDate,startDate,type,unit,value
2022-04-17 09:57:52 -0400,2022-04-17 09:57:52 -0400,HKQuantityTypeIdentifierHeartRate,count/min,85
2022-04-17 10:02:08 -0400,2022-04-17 10:02:08 -0400,HKQuantityTypeIdentifierHeartRate,count/min,77
2022-04-17 10:10:57 -0400,2022-04-17 10:10:57 -0400,HKQuantityTypeIdentifierHeartRate,count/min,76
2022-04-17 10:15:52 -0400,2022-04-17 10:15:52 -0400,HKQuantityTypeIdentifierHeartRate,count/min,100
2022-04-17 10:13:33 -0400,2022-04-17 10:13:33 -0400,HKQuantityTypeIdentifierHeartRate,count/min,76
2022-04-17 10:59:51 -0400,2022-04-17 10:59:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,123
2022-04-17 11:05:00 -0400,2022-04-17 11:05:00 -0400,HKQuantityTypeIdentifierHeartRate,count/min,95
2022-04-17 11:10:04 -0400,2022-04-17 11:10:04 -0400,HKQuantityTypeIdentifierHeartRate,count/min,99
2022-04-17 11:13:15 -0400,2022-04-17 11:13:15 -0400,HKQuantityTypeIdentifierHeartRate,count/min,100
2022-04-17 11:21:48 -0400,2022-04-17 11:21:48 -0400,HKQuantityTypeIdentifierHeartRate,count/min,109
2022-04-17 11:18:23 -0400,2022-04-17 11:18:23 -0400,HKQuantityTypeIdentifierHeartRate,count/min,101
2022-04-17 11:26:09 -0400,2022-04-17 11:26:09 -0400,HKQuantityTypeIdentifierHeartRate,count/min,108
2022-04-17 11:40:29 -0400,2022-04-17 11:40:29 -0400,HKQuantityTypeIdentifierHeartRate,count/min,97
2022-04-17 11:42:59 -0400,2022-04-17 11:42:59 -0400,HKQuantityTypeIdentifierHeartRate,count/min,96
2022-04-17 11:49:53 -0400,2022-04-17 11:49:53 -0400,HKQuantityTypeIdentifierHeartRate,count/min,101
2022-04-17 11:54:29 -0400,2022-04-17 11:54:29 -0400,HKQuantityTypeIdentifierHeartRate,count/min,102
2022-04-17 12:01:50 -0400,2022-04-17 12:01:50 -0400,HKQuantityTypeIdentifierHeartRate,count/min,126
2022-04-17 11:57:52 -0400,2022-04-17 11:57:52 -0400,HKQuantityTypeIdentifierHeartRate,count/min,99
2022-04-17 12:02:21 -0400,2022-04-17 12:02:21 -0400,HKQuantityTypeIdentifierHeartRate,count/min,81
2022-04-17 12:08:05 -0400,2022-04-17 12:08:05 -0400,HKQuantityTypeIdentifierHeartRate,count/min,101
2022-04-17 12:28:03 -0400,2022-04-17 12:28:03 -0400,HKQuantityTypeIdentifierHeartRate,count/min,116
2022-04-17 12:20:01 -0400,2022-04-17 12:20:01 -0400,HKQuantityTypeIdentifierHeartRate,count/min,112
2022-04-17 12:35:28 -0400,2022-04-17 12:35:28 -0400,HKQuantityTypeIdentifierHeartRate,count/min,78.1761
2022-04-17 12:34:58 -0400,2022-04-17 12:34:58 -0400,HKQuantityTypeIdentifierHeartRate,count/min,75
2022-04-17 12:38:08 -0400,2022-04-17 12:38:08 -0400,HKQuantityTypeIdentifierHeartRate,count/min,84
2022-04-17 12:44:08 -0400,2022-04-17 12:44:08 -0400,HKQuantityTypeIdentifierHeartRate,count/min,70
2022-04-17 12:47:09 -0400,2022-04-17 12:47:09 -0400,HKQuantityTypeIdentifierHeartRate,count/min,70
2022-04-17 12:50:40 -0400,2022-04-17 12:50:40 -0400,HKQuantityTypeIdentifierHeartRate,count/min,69
2022-04-17 12:57:41 -0400,2022-04-17 12:57:41 -0400,HKQuantityTypeIdentifierHeartRate,count/min,68
2022-04-17 13:00:40 -0400,2022-04-17 13:00:40 -0400,HKQuantityTypeIdentifierHeartRate,count/min,66
2022-04-17 13:14:03 -0400,2022-04-17 13:14:03 -0400,HKQuantityTypeIdentifierHeartRate,count/min,111
2022-04-17 13:15:47 -0400,2022-04-17 13:15:47 -0400,HKQuantityTypeIdentifierHeartRate,count/min,102
2022-04-17 13:23:57 -0400,2022-04-17 13:23:57 -0400,HKQuantityTypeIdentifierHeartRate,count/min,107
2022-04-17 13:38:49 -0400,2022-04-17 13:38:49 -0400,HKQuantityTypeIdentifierHeartRate,count/min,121
2022-04-17 13:44:57 -0400,2022-04-17 13:44:57 -0400,HKQuantityTypeIdentifierHeartRate,count/min,114
2022-04-17 13:26:20 -0400,2022-04-17 13:26:20 -0400,HKQuantityTypeIdentifierHeartRate,count/min,110
2022-04-17 13:48:22 -0400,2022-04-17 13:48:22 -0400,HKQuantityTypeIdentifierHeartRate,count/min,103
2022-04-17 13:51:57 -0400,2022-04-17 13:51:57 -0400,HKQuantityTypeIdentifierHeartRate,count/min,104
2022-04-17 13:58:50 -0400,2022-04-17 13:58:50 -0400,HKQuantityTypeIdentifierHeartRate,count/min,105
2022-04-17 14:00:51 -0400,2022-04-17 14:00:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,104
2022-04-17 14:09:58 -0400,2022-04-17 14:09:58 -0400,HKQuantityTypeIdentifierHeartRate,count/min,104
2022-04-17 14:11:51 -0400,2022-04-17 14:11:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,110
2022-04-17 14:37:41 -0400,2022-04-17 14:37:41 -0400,HKQuantityTypeIdentifierHeartRate,count/min,97
2022-04-17 14:50:21 -0400,2022-04-17 14:50:21 -0400,HKQuantityTypeIdentifierHeartRate,count/min,130
2022-04-17 14:50:26 -0400,2022-04-17 14:50:26 -0400,HKQuantityTypeIdentifierHeartRate,count/min,141
2022-04-17 14:50:27 -0400,2022-04-17 14:50:27 -0400,HKQuantityTypeIdentifierHeartRate,count/min,141
2022-04-17 14:50:36 -0400,2022-04-17 14:50:36 -0400,HKQuantityTypeIdentifierHeartRate,count/min,141
2022-04-17 14:50:39 -0400,2022-04-17 14:50:39 -0400,HKQuantityTypeIdentifierHeartRate,count/min,140
2022-04-17 14:50:42 -0400,2022-04-17 14:50:42 -0400,HKQuantityTypeIdentifierHeartRate,count/min,140
2022-04-17 14:50:51 -0400,2022-04-17 14:50:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,140
2022-04-17 14:50:53 -0400,2022-04-17 14:50:53 -0400,HKQuantityTypeIdentifierHeartRate,count/min,139
2022-04-17 14:50:57 -0400,2022-04-17 14:50:57 -0400,HKQuantityTypeIdentifierHeartRate,count/min,139
2022-04-17 14:51:06 -0400,2022-04-17 14:51:06 -0400,HKQuantityTypeIdentifierHeartRate,count/min,139
2022-04-17 14:51:08 -0400,2022-04-17 14:51:08 -0400,HKQuantityTypeIdentifierHeartRate,count/min,140
2022-04-17 14:51:13 -0400,2022-04-17 14:51:13 -0400,HKQuantityTypeIdentifierHeartRate,count/min,144
2022-04-17 14:51:17 -0400,2022-04-17 14:51:17 -0400,HKQuantityTypeIdentifierHeartRate,count/min,144
2022-04-17 14:51:26 -0400,2022-04-17 14:51:26 -0400,HKQuantityTypeIdentifierHeartRate,count/min,142
2022-04-17 14:51:28 -0400,2022-04-17 14:51:28 -0400,HKQuantityTypeIdentifierHeartRate,count/min,142
2022-04-17 14:51:33 -0400,2022-04-17 14:51:33 -0400,HKQuantityTypeIdentifierHeartRate,count/min,143
2022-04-17 14:51:39 -0400,2022-04-17 14:51:39 -0400,HKQuantityTypeIdentifierHeartRate,count/min,145
2022-04-17 14:51:45 -0400,2022-04-17 14:51:45 -0400,HKQuantityTypeIdentifierHeartRate,count/min,147
2022-04-17 14:51:48 -0400,2022-04-17 14:51:48 -0400,HKQuantityTypeIdentifierHeartRate,count/min,153
2022-04-17 14:51:56 -0400,2022-04-17 14:51:56 -0400,HKQuantityTypeIdentifierHeartRate,count/min,153
2022-04-17 14:52:01 -0400,2022-04-17 14:52:01 -0400,HKQuantityTypeIdentifierHeartRate,count/min,142
2022-04-17 14:52:02 -0400,2022-04-17 14:52:02 -0400,HKQuantityTypeIdentifierHeartRate,count/min,143
2022-04-17 14:52:11 -0400,2022-04-17 14:52:11 -0400,HKQuantityTypeIdentifierHeartRate,count/min,143
2022-04-17 14:52:16 -0400,2022-04-17 14:52:16 -0400,HKQuantityTypeIdentifierHeartRate,count/min,146
2022-04-17 14:52:17 -0400,2022-04-17 14:52:17 -0400,HKQuantityTypeIdentifierHeartRate,count/min,147
2022-04-17 14:52:22 -0400,2022-04-17 14:52:22 -0400,HKQuantityTypeIdentifierHeartRate,count/min,142
2022-04-17 14:52:27 -0400,2022-04-17 14:52:27 -0400,HKQuantityTypeIdentifierHeartRate,count/min,147
2022-04-17 14:52:35 -0400,2022-04-17 14:52:35 -0400,HKQuantityTypeIdentifierHeartRate,count/min,139
2022-04-17 14:52:37 -0400,2022-04-17 14:52:37 -0400,HKQuantityTypeIdentifierHeartRate,count/min,137
2022-04-17 14:52:43 -0400,2022-04-17 14:52:43 -0400,HKQuantityTypeIdentifierHeartRate,count/min,134
2022-04-17 14:52:51 -0400,2022-04-17 14:52:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,133
2022-04-17 14:52:55 -0400,2022-04-17 14:52:55 -0400,HKQuantityTypeIdentifierHeartRate,count/min,138
2022-04-17 14:53:01 -0400,2022-04-17 14:53:01 -0400,HKQuantityTypeIdentifierHeartRate,count/min,142
2022-04-17 14:53:03 -0400,2022-04-17 14:53:03 -0400,HKQuantityTypeIdentifierHeartRate,count/min,141
2022-04-17 14:53:11 -0400,2022-04-17 14:53:11 -0400,HKQuantityTypeIdentifierHeartRate,count/min,141
2022-04-17 14:53:12 -0400,2022-04-17 14:53:12 -0400,HKQuantityTypeIdentifierHeartRate,count/min,141
2022-04-17 14:53:17 -0400,2022-04-17 14:53:17 -0400,HKQuantityTypeIdentifierHeartRate,count/min,143
2022-04-17 14:53:26 -0400,2022-04-17 14:53:26 -0400,HKQuantityTypeIdentifierHeartRate,count/min,145
2022-04-17 14:53:31 -0400,2022-04-17 14:53:31 -0400,HKQuantityTypeIdentifierHeartRate,count/min,146
2022-04-17 14:53:36 -0400,2022-04-17 14:53:36 -0400,HKQuantityTypeIdentifierHeartRate,count/min,146
2022-04-17 14:53:37 -0400,2022-04-17 14:53:37 -0400,HKQuantityTypeIdentifierHeartRate,count/min,146
2022-04-17 14:53:43 -0400,2022-04-17 14:53:43 -0400,HKQuantityTypeIdentifierHeartRate,count/min,146
2022-04-17 14:53:51 -0400,2022-04-17 14:53:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,145
2022-04-17 14:53:57 -0400,2022-04-17 14:53:57 -0400,HKQuantityTypeIdentifierHeartRate,count/min,145
2022-04-17 14:53:58 -0400,2022-04-17 14:53:58 -0400,HKQuantityTypeIdentifierHeartRate,count/min,145
2022-04-17 14:47:19 -0400,2022-04-17 14:47:19 -0400,HKQuantityTypeIdentifierHeartRate,count/min,141
2022-04-17 14:54:07 -0400,2022-04-17 14:54:07 -0400,HKQuantityTypeIdentifierHeartRate,count/min,146
2022-04-17 14:54:11 -0400,2022-04-17 14:54:11 -0400,HKQuantityTypeIdentifierHeartRate,count/min,148
2022-04-17 14:54:13 -0400,2022-04-17 14:54:13 -0400,HKQuantityTypeIdentifierHeartRate,count/min,148
2022-04-17 14:54:18 -0400,2022-04-17 14:54:18 -0400,HKQuantityTypeIdentifierHeartRate,count/min,146
2022-04-17 14:54:23 -0400,2022-04-17 14:54:23 -0400,HKQuantityTypeIdentifierHeartRate,count/min,147
2022-04-17 14:54:30 -0400,2022-04-17 14:54:30 -0400,HKQuantityTypeIdentifierHeartRate,count/min,148
2022-04-17 15:02:41 -0400,2022-04-17 15:02:41 -0400,HKQuantityTypeIdentifierHeartRate,count/min,116
2022-04-17 15:08:18 -0400,2022-04-17 15:08:18 -0400,HKQuantityTypeIdentifierHeartRate,count/min,105
2022-04-17 15:12:24 -0400,2022-04-17 15:12:24 -0400,HKQuantityTypeIdentifierHeartRate,count/min,101
2022-04-17 15:19:08 -0400,2022-04-17 15:19:08 -0400,HKQuantityTypeIdentifierHeartRate,count/min,100
2022-04-17 15:25:25 -0400,2022-04-17 15:25:25 -0400,HKQuantityTypeIdentifierHeartRate,count/min,94
2022-04-17 15:27:02 -0400,2022-04-17 15:27:02 -0400,HKQuantityTypeIdentifierHeartRate,count/min,94
2022-04-17 15:32:51 -0400,2022-04-17 15:32:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,90
2022-04-17 15:35:31 -0400,2022-04-17 15:35:31 -0400,HKQuantityTypeIdentifierHeartRate,count/min,89
2022-04-17 15:45:18 -0400,2022-04-17 15:45:18 -0400,HKQuantityTypeIdentifierHeartRate,count/min,84
2022-04-17 15:49:11 -0400,2022-04-17 15:49:11 -0400,HKQuantityTypeIdentifierHeartRate,count/min,84
2022-04-17 15:53:11 -0400,2022-04-17 15:53:11 -0400,HKQuantityTypeIdentifierHeartRate,count/min,81
2022-04-17 15:58:28 -0400,2022-04-17 15:58:28 -0400,HKQuantityTypeIdentifierHeartRate,count/min,84
2022-04-17 16:00:51 -0400,2022-04-17 16:00:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,80
2022-04-17 16:07:11 -0400,2022-04-17 16:07:11 -0400,HKQuantityTypeIdentifierHeartRate,count/min,77
2022-04-17 16:12:15 -0400,2022-04-17 16:12:15 -0400,HKQuantityTypeIdentifierHeartRate,count/min,75
2022-04-17 16:16:23 -0400,2022-04-17 16:16:23 -0400,HKQuantityTypeIdentifierHeartRate,count/min,73
2022-04-17 16:22:10 -0400,2022-04-17 16:22:10 -0400,HKQuantityTypeIdentifierHeartRate,count/min,71
2022-04-17 16:26:04 -0400,2022-04-17 16:26:04 -0400,HKQuantityTypeIdentifierHeartRate,count/min,72
2022-04-17 16:35:06 -0400,2022-04-17 16:35:06 -0400,HKQuantityTypeIdentifierHeartRate,count/min,71
