endDate,startDate,type,unit,value
2026-04-28 00:48:42 -0400,2026-04-28 00:48:42 -0400,HKQuantityTypeIdentifierHeartRate,count/min,63
2026-04-28 00:49:49 -0400,2026-04-28 00:49:49 -0400,HKQuantityTypeIdentifierHeartRate,count/min,59
2026-04-28 00:54:55 -0400,2026-04-28 00:54:55 -0400,HKQuantityTypeIdentifierHeartRate,count/min,58
2026-04-28 00:58:32 -0400,2026-04-28 00:58:32 -0400,HKQuantityTypeIdentifierHeartRate,count/min,57
2026-04-28 01:07:01 -0400,2026-04-28 01:07:01 -0400,HKQuantityTypeIdentifierHeartRate,count/min,66
2026-04-28 01:09:36 -0400,2026-04-28 01:09:36 -0400,HKQuantityTypeIdentifierHeartRate,count/min,67
2026-04-28 01:14:30 -0400,2026-04-28 01:14:30 -0400,HKQuantityTypeIdentifierHeartRate,count/min,58
2026-04-28 01:35:30 -0400,2026-04-28 01:35:30 -0400,HKQuantityTypeIdentifierHeartRate,count/min,67
2026-04-28 01:20:04 -0400,2026-04-28 01:20:04 -0400,HKQuantityTypeIdentifierHeartRate,count/min,71
2026-04-28 01:22:58 -0400,2026-04-28 01:22:58 -0400,HKQuantityTypeIdentifierHeartRate,count/min,70
2026-04-28 01:29:10 -0400,2026-04-28 01:29:10 -0400,HKQuantityTypeIdentifierHeartRate,count/min,72
2026-04-28 01:33:19 -0400,2026-04-28 01:33:19 -0400,HKQuantityTypeIdentifierHeartRate,count/min,74
2026-04-28 01:42:41 -0400,2026-04-28 01:42:41 -0400,HKQuantityTypeIdentifierHeartRate,count/min,72
2026-04-28 01:45:11 -0400,2026-04-28 01:45:11 -0400,HKQuantityTypeIdentifierHeartRate,count/min,71
2026-04-28 01:50:04 -0400,2026-04-28 01:50:04 -0400,HKQuantityTypeIdentifierHeartRate,count/min,72
2026-04-28 01:53:17 -0400,2026-04-28 01:53:17 -0400,HKQuantityTypeIdentifierHeartRate,count/min,84
2026-04-28 01:57:41 -0400,2026-04-28 01:57:41 -0400,HKQuantityTypeIdentifierHeartRate,count/min,73.4793
2026-04-28 02:00:09 -0400,2026-04-28 02:00:09 -0400,HKQuantityTypeIdentifierHeartRate,count/min,72
2026-04-28 02:04:13 -0400,2026-04-28 02:04:13 -0400,HKQuantityTypeIdentifierHeartRate,count/min,73
2026-04-28 02:08:22 -0400,2026-04-28 02:08:22 -0400,HKQuantityTypeIdentifierHeartRate,count/min,72
2026-04-28 02:13:14 -0400,2026-04-28 02:13:14 -0400,HKQuantityTypeIdentifierHeartRate,count/min,74
2026-04-28 02:23:51 -0400,2026-04-28 02:23:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,59
2026-04-28 02:17:56 -0400,2026-04-28 02:17:56 -0400,HKQuantityTypeIdentifierHeartRate,count/min,75
2026-04-28 02:24:48 -0400,2026-04-28 02:24:48 -0400,HKQuantityTypeIdentifierHeartRate,count/min,64
2026-04-28 02:28:20 -0400,2026-04-28 02:28:20 -0400,HKQuantityTypeIdentifierHeartRate,count/min,70
2026-04-28 02:33:15 -0400,2026-04-28 02:33:15 -0400,HKQuantityTypeIdentifierHeartRate,count/min,66
2026-04-28 02:40:19 -0400,2026-04-28 02:40:19 -0400,HKQuantityTypeIdentifierHeartRate,count/min,69
2026-04-28 02:43:05 -0400,2026-04-28 02:43:05 -0400,HKQuantityTypeIdentifierHeartRate,count/min,71
2026-04-28 02:53:51 -0400,2026-04-28 02:53:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,71
2026-04-28 02:47:56 -0400,2026-04-28 02:47:56 -0400,HKQuantityTypeIdentifierHeartRate,count/min,71
2026-04-28 02:52:56 -0400,2026-04-28 02:52:56 -0400,HKQuantityTypeIdentifierHeartRate,count/min,72
2026-04-28 02:58:49 -0400,2026-04-28 02:58:49 -0400,HKQuantityTypeIdentifierHeartRate,count/min,71
2026-04-28 03:03:48 -0400,2026-04-28 03:03:48 -0400,HKQuantityTypeIdentifierHeartRate,count/min,70
2026-04-28 03:08:56 -0400,2026-04-28 03:08:56 -0400,HKQuantityTypeIdentifierHeartRate,count/min,70
2026-04-28 03:13:30 -0400,2026-04-28 03:13:30 -0400,HKQuantityTypeIdentifierHeartRate,count/min,71
2026-04-28 03:23:52 -0400,2026-04-28 03:23:52 -0400,HKQuantityTypeIdentifierHeartRate,count/min,67
2026-04-28 03:17:58 -0400,2026-04-28 03:17:58 -0400,HKQuantityTypeIdentifierHeartRate,count/min,68
2026-04-28 03:23:07 -0400,2026-04-28 03:23:07 -0400,HKQuantityTypeIdentifierHeartRate,count/min,68
2026-04-28 03:28:01 -0400,2026-04-28 03:28:01 -0400,HKQuantityTypeIdentifierHeartRate,count/min,70
2026-04-28 03:34:04 -0400,2026-04-28 03:34:04 -0400,HKQuantityTypeIdentifierHeartRate,count/min,67
2026-04-28 03:40:44 -0400,2026-04-28 03:40:44 -0400,HKQuantityTypeIdentifierHeartRate,count/min,60
2026-04-28 03:44:04 -0400,2026-04-28 03:44:04 -0400,HKQuantityTypeIdentifierHeartRate,count/min,58
2026-04-28 03:59:40 -0400,2026-04-28 03:59:40 -0400,HKQuantityTypeIdentifierHeartRate,count/min,70
2026-04-28 03:50:08 -0400,2026-04-28 03:50:08 -0400,HKQuantityTypeIdentifierHeartRate,count/min,68
