endDate,startDate,type,unit,value
2026-04-30 02:33:24 -0400,2026-04-30 02:33:24 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-30 02:44:19 -0400,2026-04-30 02:44:19 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-30 02:52:16 -0400,2026-04-30 02:52:16 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-30 02:57:44 -0400,2026-04-30 02:57:44 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-30 03:08:10 -0400,2026-04-30 03:08:10 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-30 03:18:06 -0400,2026-04-30 03:18:06 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-30 03:27:32 -0400,2026-04-30 03:27:32 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2026-04-30 03:37:28 -0400,2026-04-30 03:37:28 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-30 04:14:14 -0400,2026-04-30 04:14:14 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2026-04-30 04:22:10 -0400,2026-04-30 04:22:10 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-30 04:31:37 -0400,2026-04-30 04:31:37 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-30 04:42:03 -0400,2026-04-30 04:42:03 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-30 04:51:29 -0400,2026-04-30 04:51:29 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-30 04:57:56 -0400,2026-04-30 04:57:56 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2026-04-30 05:14:50 -0400,2026-04-30 05:14:50 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-30 05:25:16 -0400,2026-04-30 05:25:16 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-30 05:26:15 -0400,2026-04-30 05:26:15 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-30 05:39:40 -0400,2026-04-30 05:39:40 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-30 05:55:04 -0400,2026-04-30 05:55:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,13.5
2026-04-30 06:05:00 -0400,2026-04-30 06:05:00 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14
2026-04-30 06:14:56 -0400,2026-04-30 06:14:56 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-30 06:21:53 -0400,2026-04-30 06:21:53 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-30 06:27:51 -0400,2026-04-30 06:27:51 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-30 06:41:16 -0400,2026-04-30 06:41:16 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14
2026-04-30 06:45:44 -0400,2026-04-30 06:45:44 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,27
2026-04-30 06:58:09 -0400,2026-04-30 06:58:09 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-30 07:10:04 -0400,2026-04-30 07:10:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,22
2026-04-30 07:20:30 -0400,2026-04-30 07:20:30 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-05-01 00:33:28 -0400,2026-05-01 00:33:28 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,20
