endDate,startDate,type,value
2026-04-30 02:04:35 -0400,2026-04-30 02:04:05 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 02:05:05 -0400,2026-04-30 02:04:35 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-30 02:29:55 -0400,2026-04-30 02:05:05 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 03:01:13 -0400,2026-04-30 02:29:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-30 03:22:34 -0400,2026-04-30 03:01:13 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 03:24:33 -0400,2026-04-30 03:22:34 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-30 03:34:59 -0400,2026-04-30 03:24:33 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 03:35:29 -0400,2026-04-30 03:34:59 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-30 03:39:27 -0400,2026-04-30 03:35:29 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 04:03:18 -0400,2026-04-30 03:39:27 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-30 04:04:17 -0400,2026-04-30 04:03:18 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 04:05:17 -0400,2026-04-30 04:04:17 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-30 04:06:17 -0400,2026-04-30 04:05:17 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 04:06:46 -0400,2026-04-30 04:06:17 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-30 04:08:46 -0400,2026-04-30 04:06:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 04:10:15 -0400,2026-04-30 04:08:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-30 04:11:45 -0400,2026-04-30 04:10:15 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 04:13:14 -0400,2026-04-30 04:11:45 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-30 04:58:26 -0400,2026-04-30 04:13:14 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 04:58:56 -0400,2026-04-30 04:58:26 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-30 05:33:42 -0400,2026-04-30 04:58:56 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 05:34:42 -0400,2026-04-30 05:33:42 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-30 05:38:40 -0400,2026-04-30 05:34:42 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 06:06:00 -0400,2026-04-30 05:38:40 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-30 06:44:44 -0400,2026-04-30 06:06:00 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 06:55:40 -0400,2026-04-30 06:44:44 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-30 06:58:09 -0400,2026-04-30 06:55:40 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-30 06:59:38 -0400,2026-04-30 06:58:09 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 07:29:57 -0400,2026-04-30 06:59:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-05-01 00:54:19 -0400,2026-05-01 00:37:56 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 01:26:37 -0400,2026-05-01 00:54:19 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-05-01 02:00:53 -0400,2026-05-01 01:26:37 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 02:04:22 -0400,2026-05-01 02:00:53 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-05-01 02:09:20 -0400,2026-05-01 02:04:22 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 02:27:13 -0400,2026-05-01 02:09:20 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-05-01 02:30:11 -0400,2026-05-01 02:27:13 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 02:50:33 -0400,2026-05-01 02:30:11 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-05-01 03:13:54 -0400,2026-05-01 02:50:33 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 03:15:53 -0400,2026-05-01 03:13:54 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-01 03:32:47 -0400,2026-05-01 03:15:53 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 03:34:46 -0400,2026-05-01 03:32:47 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-01 03:47:41 -0400,2026-05-01 03:34:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 03:48:11 -0400,2026-05-01 03:47:41 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-01 05:10:08 -0400,2026-05-01 03:48:11 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 05:10:38 -0400,2026-05-01 05:10:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-05-01 05:14:37 -0400,2026-05-01 05:10:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-01 05:15:36 -0400,2026-05-01 05:14:37 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 05:16:06 -0400,2026-05-01 05:15:36 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-01 05:19:05 -0400,2026-05-01 05:16:06 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 05:30:01 -0400,2026-05-01 05:19:05 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-05-01 05:32:30 -0400,2026-05-01 05:30:01 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-01 05:37:57 -0400,2026-05-01 05:32:30 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 05:45:54 -0400,2026-05-01 05:37:57 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-05-01 05:47:54 -0400,2026-05-01 05:45:54 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-01 06:43:32 -0400,2026-05-01 05:47:54 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 06:50:59 -0400,2026-05-01 06:43:32 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-01 06:55:57 -0400,2026-05-01 06:50:59 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 06:56:56 -0400,2026-05-01 06:55:57 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-01 07:03:54 -0400,2026-05-01 06:56:56 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 07:06:52 -0400,2026-05-01 07:03:54 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-01 07:17:48 -0400,2026-05-01 07:06:52 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 07:18:18 -0400,2026-05-01 07:17:48 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-01 07:20:17 -0400,2026-05-01 07:18:18 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-01 07:30:14 -0400,2026-05-01 07:20:17 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-05-02 01:29:11 -0400,2026-05-02 01:17:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 01:53:02 -0400,2026-05-02 01:29:11 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-05-02 01:55:31 -0400,2026-05-02 01:53:02 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 02:04:57 -0400,2026-05-02 01:55:31 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 02:26:49 -0400,2026-05-02 02:04:57 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-05-02 02:27:48 -0400,2026-05-02 02:26:49 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 02:43:12 -0400,2026-05-02 02:27:48 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 02:44:12 -0400,2026-05-02 02:43:12 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-05-02 02:45:41 -0400,2026-05-02 02:44:12 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 03:12:01 -0400,2026-05-02 02:45:41 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 03:16:29 -0400,2026-05-02 03:12:01 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 03:26:55 -0400,2026-05-02 03:16:29 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 03:31:23 -0400,2026-05-02 03:26:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 03:48:46 -0400,2026-05-02 03:31:23 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 03:49:46 -0400,2026-05-02 03:48:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 04:00:12 -0400,2026-05-02 03:49:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 04:00:42 -0400,2026-05-02 04:00:12 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 04:19:34 -0400,2026-05-02 04:00:42 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 04:28:01 -0400,2026-05-02 04:19:34 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 04:33:29 -0400,2026-05-02 04:28:01 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 04:33:59 -0400,2026-05-02 04:33:29 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 04:40:26 -0400,2026-05-02 04:33:59 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 04:44:24 -0400,2026-05-02 04:40:26 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 04:53:21 -0400,2026-05-02 04:44:24 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
